,company,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms,price
0,A,22.0,chicken,double_signature,jumbo,yes,yes,no,235000.0
1,A,20.0,papperoni,double_signature,jumbo,yes,yes,no,198000.0
2,A,16.0,mushrooms,double_signature,reguler,yes,yes,yes,120000.0
3,A,14.0,smoked_beef,double_signature,reguler,yes,no,yes,155000.0
4,A,18.0,mozzarella,double_signature,jumbo,yes,no,yes,248000.0
5,A,18.5,black_papper,american_favorite,jumbo,no,no,yes,140000.0
6,A,16.0,smoked_beef,american_favorite,jumbo,no,yes,yes,110000.0
7,A,8.0,papperoni,american_favorite,reguler,no,no,yes,70000.0
8,A,12.0,mushrooms,american_favorite,reguler,yes,no,yes,90000.0
9,A,12.0,smoked_beef,american_favorite,reguler,no,no,no,90000.0
10,A,18.5,mozzarella,super_supreme,jumbo,no,no,no,140000.0
11,A,16.0,black_papper,super_supreme,jumbo,yes,yes,no,110000.0
12,A,8.0,smoked_beef,super_supreme,reguler,yes,yes,no,70000.0
13,A,12.0,black_papper,super_supreme,reguler,no,yes,no,90000.0
14,A,12.0,mozzarella,super_supreme,reguler,no,yes,no,90000.0
15,A,18.5,mozzarella,meat_lovers,jumbo,no,yes,yes,140000.0
16,A,16.0,smoked_beef,meat_lovers,jumbo,no,yes,yes,110000.0
17,A,8.0,chicken,meat_lovers,reguler,yes,yes,yes,70000.0
18,A,12.0,mushrooms,meat_lovers,reguler,yes,yes,yes,90000.0
19,A,12.0,mozzarella,meat_lovers,reguler,yes,yes,yes,90000.0
20,A,22.0,chicken,double_mix,jumbo,yes,yes,yes,230000.0
21,A,18.5,mushrooms,double_mix,jumbo,yes,yes,yes,188000.0
22,A,14.0,chicken,double_mix,reguler,yes,yes,yes,114000.0
23,A,16.5,smoked_beef,double_mix,reguler,yes,no,no,149000.0
24,A,16.5,chicken,double_mix,reguler,yes,no,no,149000.0
25,B,8.5,mozzarella,classic,small,yes,no,no,23500.0
26,B,12.0,chicken,classic,medium,yes,no,no,46000.0
27,B,14.0,smoked_beef,classic,large,yes,no,yes,72000.0
28,B,12.0,mozzarella,crunchy,medium,no,no,yes,49000.0
29,B,17.0,chicken,new_york,XL,no,yes,yes,83000.0
30,B,12.0,chicken,double_decker,medium,no,yes,yes,96000.0
31,B,8.5,mushrooms,classic,small,yes,yes,yes,31000.0
32,B,12.0,chicken,classic,medium,no,yes,yes,69000.0
33,B,14.0,mushrooms,classic,large,no,yes,yes,93000.0
34,B,12.0,mushrooms,crunchy,medium,no,yes,yes,75000.0
